"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 16:36:57";0;1;45972692323,4143
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 16:36:57";0;1;45972692323,4143
"IO_SENSOR1_DATA_RCEa";"11/11/2025 16:36:57";0;1;45972692323,4143
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 16:41:57";0;1;45972695796,3079
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 16:41:57";0;1;45972695796,3079
"IO_SENSOR1_DATA_RCEa";"11/11/2025 16:41:57";0;1;45972695796,3079
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 16:46:57";0;1;45972699267,8819
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 16:46:57";0;1;45972699267,8819
"IO_SENSOR1_DATA_RCEa";"11/11/2025 16:46:57";0;1;45972699267,8819
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 16:51:57";0;1;45972702740,8218
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 16:51:57";0;1;45972702740,8218
"IO_SENSOR1_DATA_RCEa";"11/11/2025 16:51:57";0;1;45972702740,8218
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 16:56:57";0;1;45972706212,0602
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 16:56:57";0;1;45972706212,0602
"IO_SENSOR1_DATA_RCEa";"11/11/2025 16:56:57";0;1;45972706212,0602
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:01:57";0;1;45972709684,4444
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:01:57";0;1;45972709684,4444
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:01:57";0;1;45972709684,4444
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:06:57";0;1;45972713157,0139
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:06:57";0;1;45972713157,0139
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:06:57";0;1;45972713157,0139
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:11:57";0;1;45972716629,2014
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:11:57";0;1;45972716629,2014
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:11:57";0;1;45972716629,2014
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:16:57";0;1;45972720101,5856
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:16:57";0;1;45972720101,5856
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:16:57";0;1;45972720101,5856
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:21:57";0;1;45972723573,6227
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:21:57";0;1;45972723573,6227
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:21:57";0;1;45972723573,6227
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:26:57";0;1;45972727045,6713
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:26:57";0;1;45972727045,6713
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:26:57";0;1;45972727045,6713
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:31:57";0;1;45972730518,3333
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:31:57";0;1;45972730518,3333
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:31:57";0;1;45972730518,3333
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:36:57";0;1;45972733991,007
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:36:57";0;1;45972733991,007
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:36:57";0;1;45972733991,007
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:41:57";0;1;45972737462,5231
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:41:57";0;1;45972737462,5231
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:41:57";0;1;45972737462,5231
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:46:57";0;1;45972740935,1042
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:46:57";0;1;45972740935,1042
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:46:57";0;1;45972740935,1042
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:51:57";0;1;45972744407,7431
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:51:57";0;1;45972744407,7431
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:51:57";0;1;45972744407,7431
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 17:56:57";0;1;45972747879,8958
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 17:56:57";0;1;45972747879,8958
"IO_SENSOR1_DATA_RCEa";"11/11/2025 17:56:57";0;1;45972747879,8958
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:01:57";0;1;45972751351,1921
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:01:57";0;1;45972751351,1921
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:01:57";0;1;45972751351,1921
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:06:57";0;1;45972754823,4606
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:06:57";0;1;45972754823,4606
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:06:57";0;1;45972754823,4606
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:11:57";0;1;45972758296,007
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:11:57";0;1;45972758296,007
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:11:57";0;1;45972758296,007
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:16:57";0;1;45972761768,287
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:16:57";0;1;45972761768,287
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:16:57";0;1;45972761768,287
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:21:57";0;1;45972765240,5324
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:21:57";0;1;45972765240,5324
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:21:57";0;1;45972765240,5324
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:26:57";0;1;45972768713,044
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:26:57";0;1;45972768713,044
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:26:57";0;1;45972768713,044
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:31:57";0;1;45972772185,3241
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:31:57";0;1;45972772185,3241
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:31:57";0;1;45972772185,3241
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:36:57";0;1;45972775657,3727
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:36:57";0;1;45972775657,3727
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:36:57";0;1;45972775657,3727
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:41:57";0;1;45972779129,7569
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:41:57";0;1;45972779129,7569
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:41:57";0;1;45972779129,7569
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:46:57";0;1;45972782602,1412
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:46:57";0;1;45972782602,1412
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:46:57";0;1;45972782602,1412
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:51:57";0;1;45972786074,2361
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:51:57";0;1;45972786074,2361
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:51:57";0;1;45972786074,2361
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 18:56:57";0;1;45972789545,9722
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 18:56:57";0;1;45972789545,9722
"IO_SENSOR1_DATA_RCEa";"11/11/2025 18:56:57";0;1;45972789545,9722
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:01:57";0;1;45972793018,8542
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:01:57";0;1;45972793018,8542
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:01:57";0;1;45972793018,8542
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:06:57";0;1;45972796490,4745
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:06:57";0;1;45972796490,4745
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:06:57";0;1;45972796490,4745
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:11:57";0;1;45972799963,3565
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:11:57";0;1;45972799963,3565
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:11:57";0;1;45972799963,3565
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:16:57";0;1;45972803435,4977
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:16:57";0;1;45972803435,4977
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:16:57";0;1;45972803435,4977
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:21:57";0;1;45972806907,7546
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:21:57";0;1;45972806907,7546
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:21:57";0;1;45972806907,7546
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:26:57";0;1;45972810380,1389
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:26:57";0;1;45972810380,1389
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:26:57";0;1;45972810380,1389
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:31:57";0;1;45972813852,3495
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:31:57";0;1;45972813852,3495
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:31:57";0;1;45972813852,3495
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:36:57";0;1;45972817324,456
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:36:57";0;1;45972817324,456
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:36:57";0;1;45972817324,456
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:41:57";0;1;45972820797,1065
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:41:57";0;1;45972820797,1065
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:41:57";0;1;45972820797,1065
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:46:57";0;1;45972824268,4143
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:46:57";0;1;45972824268,4143
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:46:57";0;1;45972824268,4143
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:51:57";0;1;45972827740,7986
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:51:57";0;1;45972827740,7986
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:51:57";0;1;45972827740,7986
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 19:56:57";0;1;45972831213,4954
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 19:56:57";0;1;45972831213,4954
"IO_SENSOR1_DATA_RCEa";"11/11/2025 19:56:57";0;1;45972831213,4954
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:01:57";0;1;45972834685,1736
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:01:57";0;1;45972834685,1736
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:01:57";0;1;45972834685,1736
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:06:57";0;1;45972838157,6273
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:06:57";0;1;45972838157,6273
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:06:57";0;1;45972838157,6273
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:11:57";0;1;45972841629,7685
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:11:57";0;1;45972841629,7685
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:11:57";0;1;45972841629,7685
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:16:57";0;1;45972845102,3032
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:16:57";0;1;45972845102,3032
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:16:57";0;1;45972845102,3032
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:21:57";0;1;45972848574,7569
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:21:57";0;1;45972848574,7569
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:21:57";0;1;45972848574,7569
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:26:57";0;1;45972852046,412
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:26:57";0;1;45972852046,412
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:26:57";0;1;45972852046,412
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:31:57";0;1;45972855518,4954
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:31:57";0;1;45972855518,4954
"IO_SENSOR1_DATA_RCEa";"11/11/2025 20:31:57";0;1;45972855518,4954
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 20:36:57";0;1;45972858991,3079
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 20:36:57";0;1;45972858991,3079
