Date/Time,ACS [J],Heating [J],Cooling [J]
 01/01  00:01:00,0.0,115911.167909922,0.0
 01/01  00:02:00,0.0,115895.124854014,0.0
 01/01  00:03:00,0.0,115946.453931544,0.0
 01/01  00:04:00,0.0,115959.385070984,0.0
 01/01  00:05:00,0.0,115952.311873936,0.0
 01/01  00:06:00,0.0,115934.261647927,0.0
 01/01  00:07:00,0.0,115909.691433069,0.0
 01/01  00:08:00,0.0,115880.774792509,0.0
 01/01  00:09:00,0.0,115848.890790229,0.0
 01/01  00:10:00,0.0,115814.682065587,0.0
 01/01  00:11:00,0.0,115778.545733826,0.0
 01/01  00:12:00,0.0,115740.722741074,0.0
 01/01  00:13:00,0.0,115701.372837681,0.0
 01/01  00:14:00,0.0,115660.609471615,0.0
 01/01  00:15:00,0.0,115618.517667297,0.0
 01/01  00:16:00,0.0,115575.16410371,0.0
 01/01  00:17:00,0.0,115530.603106731,0.0
 01/01  00:18:00,0.0,115484.880390823,0.0
 01/01  00:19:00,0.0,115438.035477476,0.0
 01/01  00:20:00,0.0,115390.101635124,0.0
 01/01  00:21:00,0.0,115340.984658787,0.0
 01/01  00:22:00,0.0,115291.012528971,0.0
 01/01  00:23:00,0.0,115240.023134291,0.0
 01/01  00:24:00,0.0,115188.062209911,0.0
 01/01  00:25:00,0.0,115135.141116363,0.0
 01/01  00:26:00,0.0,115081.128691968,0.0
 01/01  00:27:00,0.0,115026.398721576,0.0
 01/01  00:28:00,0.0,114970.753842536,0.0
 01/01  00:29:00,0.0,114914.083203033,0.0
 01/01  00:30:00,0.0,114856.74623055,0.0
 01/01  00:31:00,0.0,114798.543546254,0.0
 01/01  00:32:00,0.0,114739.361670771,0.0
 01/01  00:33:00,0.0,114679.56141179,0.0
